Channels (n),Load Level (ρ),P0,P_reject,Throughput (A),P_queue,Avg Busy Channels,Channel Utilization,Channel Idle,Avg Queue Length,Avg Queue Wait Time,Avg Service Time,Avg System Time,Costs
1,0.5,0.5019607843137255,0.00392156862745098,4.980392156862745,0.4980392156862745,0.5,0.5,0.5,0.4980392156862745,0.0996078431372549,0.1,0.1996078431372549,2.0098039215686274
2,0.25,0.6000036621317268,1.8310658634391078e-05,4.9999084467068275,0.09999450680240973,0.5,0.25,0.75,0.03333150226746991,0.006666300453493983,0.1,0.10666630045349398,4.000045776646586
3,0.16666666666666666,0.606060638863593,2.7062464226805086e-07,4.999998646876788,0.015151461846661496,0.5,0.16666666666666666,0.8333333333333334,0.0030302923693322987,0.0006060584738664598,0.1,0.10060605847386646,6.000000676561606
4,0.125,0.6064981954678716,6.0250182496296524e-09,4.999999969874908,0.0018050532924612783,0.5,0.125,0.875,0.0002578647560658969,5.1572951213179384e-05,0.1,0.10005157295121318,8.000000015062545
5,0.1,0.6065286065392511,1.5795015795293005e-10,4.999999999210249,0.00017550015795320117,0.5,0.1,0.9,1.950001755035569e-05,3.900003510071138e-06,0.1,0.10000390000351007,10.000000000394875
6,0.08333333333333333,0.6065305419146051,4.408113092058552e-12,4.999999999977959,1.4359150686260591e-05,0.5,0.08333333333333333,0.9166666666666666,1.3053773351145992e-06,2.6107546702291984e-07,0.1,0.10000026107546703,12.00000000001102
